STRSUBSTNO_Text000_PeriodText_;COMPANYNAME;Customer__No__;Customer_Name;LiterCaption;ValueEntryBuffer__Item_No__;Item_Description;ValueEntryBuffer__Invoiced_Quantity_;Item__Base_Unit_of_Measure_;Liter_Equiv
Period: 01.01.25..31.12.25;La Nebuleuse SA;1009;Great Escape;Liter;EMBF;Embuscade Keg 20l;390,;F;7 800,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1009;Great Escape;Liter;CAUF;Caution - Fût Inox 20L;22,;F;440,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1009;Great Escape;Liter;ALTF;Alternative Keg 20l;20,;F;400,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;ZEP4;Zepp 6x4 btls 33cl;13,;6X4B;102,96
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;EMB4;Embuscade Box 6x4 Btls 33cl;9,;6X4B;71,28
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;MOO4;Moonshine Box 6x4 Btls 33cl;6,;6X4B;47,52
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;DIV4;Diversion IPA Box 6x4 Btls 33cl;25,;6X4B;198,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;SPY4;Speakeasy Box 6x4 Btls 33cl;6,;6X4B;47,52
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;MOOF;Moonshine Keg 20l;176,;F;3 520,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;CAUF;Caution - Fût Inox 20L;90,;F;1 800,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;EPH3B;Éphémère 3 Box 24 Btle 33cl;3,;24B;23,76
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;STI4;Stirling Box 6x4 Btls 33cl;15,;6X4B;118,80
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;EMBF;Embuscade Keg 20l;245,;F;4 900,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;ZEPV;ZEPP Cuve;13 450,;L;13 450,00
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;DOA4;Double Oat Box 6x4 Btls 33cl;7,;6X4B;55,44
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;DIVB;Diversion IPA Box 24 Btls 33cl;45,;24B;356,40
Period: 01.01.25..31.12.25;La Nebuleuse SA;1010;Les Docks;Liter;MOOB;Moonshine Box 24 Btls 33cl;10,;24B;79,20
