Origine \ Destination;Brasserie Renens;Entrepôt Crissier;Great Escape;The Lacustre;Simplon;Pointu;Loxton;La Latina;Docks;Doki Doki;Jetée de la compagnie;La rincette;Migros Ouchy;Alloboissons
Brasserie Renens;0;3,37;4,69;5,42;4,8;3,71;4,16;4,07;2,88;4,52;5,5;4,5;4,57;78,12
Entrepôt Crissier;3,48;0;7,17;8,78;7,39;6,19;6,64;6,55;5,77;7;8,6;7,6;7,93;80,71
Great Escape;4,99;9,22;0;2,59;1,75;1,48;0,87;0,96;2,7;0,69;3,8;3,6;3,06;74,34
The Lacustre;4,85;7,91;2,71;0;1,3;3,3;2,39;2,92;3,28;2,34;1,1;2,4;1,05;72,58
Simplon;4,73;8,31;1,87;1,3;0;2,46;1,54;2,08;2,43;1,5;1,6;2,7;1,97;72,57
Pointu;4,02;8,77;0,83;3,65;2,81;0;1,75;1,85;2,25;1,52;3,7;3,5;3,08;74,78
Loxton;4,12;8,35;1,48;3,05;2,2;1,74;0;0,09;1,82;1,58;3,2;3;2,66;74,36
La Latina;4,03;8,25;1,57;2,95;2,11;1,65;0,09;0;1,73;1,67;3,1;2,9;2,56;74,46
Docks;3,23;7,02;2,61;3,01;2,47;1,85;1,83;1,74;0;2,44;2,7;2,7;2,16;75,83
Doki Doki;4,73;8,96;0,69;2,23;1,39;2,08;0,88;0,84;2,44;0;3,2;3,9;2,7;73,92
Jetée de la compagnie;5,5;8,6;3,8;1,1;1,6;3,7;3,2;3,1;2,7;3,2;0;2,1;1,1;73
La rincette;4,5;7,6;3,6;2,4;2,7;3,5;3;2,9;2,7;3,9;2,1;0;2,4;86
Migros Ouchy;4,03;7,1;3,2;1,02;2,22;2,95;2,67;2,57;2,24;2,83;1,1;2,4;0;73,6
Alloboissons;77,03;80,32;73,17;71,69;71,67;76,6;73,66;73,76;77,42;73,11;73;86;72,74;0
